Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","23329.004","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","24029.589","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","24743.946","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","25475.61","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","26223.391","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","26984.002","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","27753.304","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","28516.545","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","29274.002","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","30034.389","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","30790.513","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","31546.691","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","32284.046","X","Figure from international organizations",""
"OA","Annual population","887","Yemen","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 persons","32981.641","X","Figure from international organizations",""
